"","Stop_ID","Stop_Name"
"164",20663,"Lancaster Av & 38th St"
"165",20664,"36th St & Market St"
"166",20665,"36th St & Lancaster Av"
"167",20668,"Lancaster Av & Spring Garden St"
"168",20669,"Lancaster Av & Haverford Av"
"169",20670,"Lancaster Av & Wallace St"
"170",20671,"Lancaster Av & 41st St"
"171",20672,"Lancaster Av & 42nd St"
"172",20673,"Lancaster Av & Parrish St"
"173",20674,"Lancaster Av & Ogden St"
"174",20675,"Lancaster Av & Westminster St"
"175",20677,"Lancaster Av & 47th St"
"176",20678,"Lancaster Av & 49th St"
"177",20679,"Lancaster Av & 50th St"
"178",20681,"Lancaster Av & 52nd St"
"179",20683,"Lansdowne Av & 54th St"
"180",20684,"Lansdowne Av & 55th St"
"181",20685,"Lansdowne Av & 56th St"
"182",20686,"Lansdowne Av & 57th St"
"183",20687,"Lansdowne Av & 58th St"
"184",20688,"Lansdowne Av & 59th St"
"185",20689,"Lansdowne Av & 60th St"
"186",20690,"Lansdowne Av & 61st St"
"187",20691,"Lansdowne Av & 62nd St"
"188",20692,"63rd St & Lansdowne Av - FS"
"189",20693,"63rd St & Jefferson St"
"190",20695,"63rd St & Columbia Av "
"191",20697,"Main St & Summit St "
"192",20698,"Main St & 6th St"
"193",20699,"Main St & 5th St"
"194",20700,"Main St & 4th St"
"195",20701,"Main St & 3rd St"
"196",20702,"Main St & 2nd St"
"197",20703,"Main St & Front St "
"198",20704,"Woodland Av & Island Av "
"199",20705,"Woodland Av & 72nd St "
"200",20706,"Woodland Av & 71st St "
"201",20707,"Woodland Av & 70th St "
"202",20708,"Woodland Av & 69th St "
"203",20709,"Woodland Av & 68th St "
"204",20710,"Woodland Av & 67th St"
"205",20711,"Woodland Av & 66th St"
"206",20712,"Woodland Av & 65th St"
"207",20713,"Woodland Av & 64th St"
"208",20714,"Woodland Av & 63rd St"
"209",20715,"Woodland Av & 62nd St"
"210",20716,"Woodland Av & 60th St"
"211",20717,"Woodland Av & 61st St "
"212",20718,"Woodland Av & 58th St"
"213",20719,"Woodland Av & 57th St "
"214",20720,"Woodland Av & 56th St "
"215",20721,"Woodland Av & 55th St "
"216",20722,"Woodland Av & 54th St"
"217",20723,"Woodland Av & 52nd St "
"218",20724,"Woodland Av & 51st St "
"219",20725,"Woodland Av & 50th St "
"220",20726,"Woodland Av & 48th St"
"221",20727,"Woodland Av & 46th St"
"222",20728,"Woodland Av & 45th St"
"223",20729,"Woodland Av & 42nd St"
"224",20731,"37th St Trolley Station"
"225",20732,"36th St Trolley Station"
"226",20733,"36th St Trolley Station"
"227",20734,"37th St Trolley Station "
"228",20735,"Woodland Av & 41st St"
"229",20736,"Woodland Av & 42nd St"
"230",20737,"Woodland Av & 43rd St"
"231",20739,"Woodland Av & 46th St"
"232",20740,"Woodland Av & 48th St"
"233",20741,"Woodland Av & 51st St"
"234",20742,"Woodland Av & 52nd St"
"235",20743,"Woodland Av & 53rd St"
"236",20744,"Woodland Av & 54th St "
"237",20745,"Woodland Av & 55th St "
"238",20746,"Woodland Av & 56th St "
"239",20747,"Woodland Av & 57th St "
"240",20748,"Woodland Av & 58th St "
"241",20749,"Woodland Av & 60th St "
"242",20750,"Woodland Av & 61st St "
"243",20751,"Woodland Av & 63rd St "
"244",20752,"Woodland Av & 64th St "
"245",20753,"Woodland Av & 65th St "
